Product_Name,Price,Ratings,IMG,Product_ID,Category
Say Yes to the Dress Season 17,$1.99 ,3.0 out of 5 stars,https://m.media-amazon.com/images/I/81g2JJszf3L._AC_UL320_ML3_.jpg,dress29,dress
Yidarton Women's Comfy Cold Shoulder Twist Knot Tunics Tops Blouses Tshirts,$18.99 ,4.6 out of 5 stars,https://m.media-amazon.com/images/I/71DErLmBRPL._AC_UL320_ML3_.jpg,dress30,dress
MOLERANI Women's Casual Plain Simple Long Sleeve T-Shirt Loose Dress,$18.82 ,4.3 out of 5 stars,https://m.media-amazon.com/images/I/51B+sn+hZ2L._AC_UL320_ML3_.jpg,dress31,dress
Amazon Brand - Daily Ritual Women's Jersey Mock-Neck Swing Dress,$20.83 ,4.0 out of 5 stars,https://m.media-amazon.com/images/I/71XGGObfHwL._AC_UL320_ML3_.jpg,dress32,dress
PattyBoutik Mama Crewneck Crochet Lace Inset Ruched Sheath Dress,$39.99 ,4.5 out of 5 stars,https://m.media-amazon.com/images/I/61RLVaBeNKL._AC_UL320_ML3_.jpg,dress33,dress
Amazon Brand - Daily Ritual Women's Jersey 3/4-Sleeve Bateau-Neck T-Shirt Dress,$20.50 ,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71bYCpCxlML._AC_UL320_ML3_.jpg,dress34,dress
Miusol Women's Business Retro Ruffles Slim Cocktail Pencil Dress,$29.99 ,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61wUAjbKvvL._AC_UL320_ML3_.jpg,dress35,dress
TheMogan Casual Oversized Crew Or V-Neck Sweatshirts Loose Fit Pullover Tunic S~3XL,$20.94 ,4.4 out of 5 stars,https://m.media-amazon.com/images/I/717fN59HSrL._AC_UL320_ML3_.jpg,dress36,dress
whoinshop Women's Cross Strap Ribbed Bandage Long Sleeve Midi Fall Winter Bodycon Party Dress,$61.99 ,3.4 out of 5 stars,https://m.media-amazon.com/images/I/61zNEFzOoFL._AC_UL320_ML3_.jpg,dress37,dress
Ever-Pretty Sleeveless V-Neck Semi-Formal Maxi Evening Dress 09016,$54.99 ,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61rledQl0BL._AC_UL320_ML3_.jpg,dress38,dress
GRACE KARIN Women Sleeveless Deep V Neck Casual Cocktail Pencil Dress,$30.99 ,4.6 out of 5 stars,https://m.media-amazon.com/images/I/511e+PmGXEL._AC_UL320_ML3_.jpg,dress39,dress
MAKEMECHIC Casual Maxi Short Sleeve Split Tie Dye Long Dress,$27.99 ,4.1 out of 5 stars,https://m.media-amazon.com/images/I/71a5s6IQjEL._AC_UL320_ML3_.jpg,dress40,dress
Unbranded* Women's Long Sleeve Loose Plain Dresses Casual Short Dress with Pockets,$22.99 ,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61Vex0q-zmL._AC_UL320_ML3_.jpg,dress41,dress
Kate Kasin Women Sequin Bridesmaid Dress Sleeveless Maxi Evening Prom Dresses,$54.99 ,4.2 out of 5 stars,https://m.media-amazon.com/images/I/815A59DvpcL._AC_UL320_ML3_.jpg,dress42,dress
A Dress for the Wicked,$14.99 ,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71pnJys2BXL._AC_UL320_ML3_.jpg,dress43,dress
